r,x
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.4,0.583333
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.401,0.583507
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
2.402,0.58368
